Titulo,Empresa,Ubicacion,Salario,Experiencia minima,Tipo de contrato,Estudios minimos,Skills,Descripcion,Referencia,cat_original,cat_identificada
Data Scientist Junior,DataCore Systems,"Bilbao, España",Salario no disponible,Al menos 3 años,"Por obra o servicio, jornada completa",Doctorado en Inteligencia Artificial,"['hadoop', 'spark', 'kafka', 'etl']","En DataCore Systems, estamos buscando un/a Data Scientist Junior para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Bilbao, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Doctorado en Inteligencia Artificial.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: Salario no disponible.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en DataCore Systems!",EAAC666A,Data Scientist,
Predictive Analytics Expert,Quantum Metrics,"Palma de Mallorca, España",Salario no disponible,Sin experiencia,"Por obra o servicio, jornada completa",Grado universitario en Estadística,"['r', 'deep learning', 'data visualization', 'big data']","En Quantum Metrics, estamos buscando un/a Predictive Analytics Expert para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Palma de Mallorca, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como R, Deep Learning, Data Visualization, Big Data, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Sin experiencia.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: R, Deep Learning, Data Visualization, Big Data.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: Salario no disponible.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Quantum Metrics!",2EE76D1C,Data Scientist,
Natural Language Processing Expert,Infinite Data Labs,"Granada, España",60.000€ - 70.000€ Bruto/año,Al menos 2 años,"Indefinido, jornada completa",Máster en Data Science,"['tensorflow', 'keras', 'pytorch', 'nlp']","En Infinite Data Labs, estamos buscando un/a Natural Language Processing Expert para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Granada, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como TensorFlow, Keras, PyTorch, Natural Language Processing, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 2 años.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: TensorFlow, Keras, PyTorch, Natural Language Processing.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Infinite Data Labs!",29366C4E,Data Scientist,
Data Engineer,Future Tech AI,"Alicante, España",30.000€ - 40.000€ Bruto/año,Al menos 2 años,"Por obra o servicio, jornada completa",Máster en Data Science,"['r', 'deep learning', 'data visualization', 'big data']","En Future Tech AI, estamos buscando un/a Data Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Alicante, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como R, Deep Learning, Data Visualization, Big Data, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 2 años.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: R, Deep Learning, Data Visualization, Big Data.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Future Tech AI!",B31FAE77,Data Scientist,
AI Solutions Architect,Quantum Metrics,"Valencia, España",Salario no disponible,Más de 5 años,"Indefinido, jornada completa",Ciclo Formativo Grado Superior en Informática,"['tensorflow', 'keras', 'pytorch', 'nlp']","En Quantum Metrics, estamos buscando un/a AI Solutions Architect para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Valencia, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como TensorFlow, Keras, PyTorch, Natural Language Processing, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Más de 5 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: TensorFlow, Keras, PyTorch, Natural Language Processing.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: Salario no disponible.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Quantum Metrics!",7EEDCB27,Data Scientist,
Big Data Engineer,Visionary Insights,"Granada, España",45.000€ - 55.000€ Bruto/año,Más de 5 años,"Indefinido, jornada completa",Doctorado en Inteligencia Artificial,"['cloud computing', 'aws', 'azure', 'google cloud', 'machine learning']","En Visionary Insights, estamos buscando un/a Big Data Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Granada, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Cloud Computing, AWS, Azure, Google Cloud, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Más de 5 años.
- Formación académica: Doctorado en Inteligencia Artificial.
- Conocimiento técnico: Cloud Computing, AWS, Azure, Google Cloud.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 45.000€ - 55.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Visionary Insights!",ED152C6F,Data Scientist,
Data Visualization Engineer,Future Tech AI,"Barcelona, España",60.000€ - 70.000€ Bruto/año,Más de 5 años,"Indefinido, jornada intensiva",Grado universitario en Estadística,"['tensorflow', 'keras', 'pytorch', 'nlp']","En Future Tech AI, estamos buscando un/a Data Visualization Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Barcelona, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como TensorFlow, Keras, PyTorch, Natural Language Processing, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Más de 5 años.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: TensorFlow, Keras, PyTorch, Natural Language Processing.

Ofrecemos:
- Contrato: Indefinido, jornada intensiva.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Future Tech AI!",48E63919,Data Scientist,
Data Visualization Engineer,BlueSphere Analytics,"Granada, España",Salario no disponible,Al menos 3 años,"Indefinido, jornada completa",Grado universitario en Estadística,"['r', 'deep learning', 'data visualization', 'big data']","En BlueSphere Analytics, estamos buscando un/a Data Visualization Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Granada, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como R, Deep Learning, Data Visualization, Big Data, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: R, Deep Learning, Data Visualization, Big Data.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: Salario no disponible.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en BlueSphere Analytics!",69510F9D,Data Scientist,
Data Scientist Junior,SmartData Inc.,"Madrid, España",Salario no disponible,Al menos 1 año,"Indefinido, jornada completa",Doctorado en Inteligencia Artificial,"['hadoop', 'spark', 'kafka', 'etl']","En SmartData Inc., estamos buscando un/a Data Scientist Junior para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Madrid, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 1 año.
- Formación académica: Doctorado en Inteligencia Artificial.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: Salario no disponible.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en SmartData Inc.!",FAC61FA7,Data Scientist,
AI Solutions Architect,Tech Solutions Ltd.,"Madrid, España",45.000€ - 55.000€ Bruto/año,Al menos 1 año,"Indefinido, jornada intensiva",Grado universitario en Estadística,"['powerbi', 'tableau', 'statistics', 'data mining']","En Tech Solutions Ltd., estamos buscando un/a AI Solutions Architect para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Madrid, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Power BI, Tableau, Statistics, Data Mining, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 1 año.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: Power BI, Tableau, Statistics, Data Mining.

Ofrecemos:
- Contrato: Indefinido, jornada intensiva.
- Salario competitivo: 45.000€ - 55.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Tech Solutions Ltd.!",BC5297F0,Data Scientist,
AI Solutions Architect,Future Tech AI,"Barcelona, España",60.000€ - 70.000€ Bruto/año,Sin experiencia,"Por obra o servicio, jornada completa",Grado universitario en Estadística,"['tensorflow', 'keras', 'pytorch', 'nlp']","En Future Tech AI, estamos buscando un/a AI Solutions Architect para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Barcelona, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como TensorFlow, Keras, PyTorch, Natural Language Processing, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Sin experiencia.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: TensorFlow, Keras, PyTorch, Natural Language Processing.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Future Tech AI!",237E40B5,Data Scientist,
Big Data Engineer,BlueSphere Analytics,"Murcia, España",45.000€ - 55.000€ Bruto/año,Al menos 1 año,"Indefinido, jornada completa",Ciclo Formativo Grado Superior en Informática,"['python', 'sql', 'machine learning', 'data analysis']","En BlueSphere Analytics, estamos buscando un/a Big Data Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Murcia, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Python, SQL, Machine Learning, Data Analysis, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 1 año.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Python, SQL, Machine Learning, Data Analysis.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 45.000€ - 55.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en BlueSphere Analytics!",F3FBC97B,Data Scientist,
AI Research Scientist,Visionary Insights,"Murcia, España",Salario no disponible,Más de 5 años,"Temporal, media jornada",Ciclo Formativo Grado Superior en Informática,"['tensorflow', 'keras', 'pytorch', 'nlp']","En Visionary Insights, estamos buscando un/a AI Research Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Murcia, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como TensorFlow, Keras, PyTorch, Natural Language Processing, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Más de 5 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: TensorFlow, Keras, PyTorch, Natural Language Processing.

Ofrecemos:
- Contrato: Temporal, media jornada.
- Salario competitivo: Salario no disponible.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Visionary Insights!",455605DA,Data Scientist,
Machine Learning Specialist,Innovative Analytics,"Madrid, España",30.000€ - 40.000€ Bruto/año,Sin experiencia,"Indefinido, jornada completa",Máster en Data Science,"['cloud computing', 'aws', 'azure', 'google cloud']","En Innovative Analytics, estamos buscando un/a Machine Learning Specialist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Madrid, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Cloud Computing, AWS, Azure, Google Cloud, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Sin experiencia.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: Cloud Computing, AWS, Azure, Google Cloud.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Innovative Analytics!",8E102875,Data Scientist,
Big Data Engineer,Innovative Analytics,"Granada, España",60.000€ - 70.000€ Bruto/año,Al menos 3 años,"Temporal, media jornada",Máster en Data Science,"['powerbi', 'tableau', 'statistics', 'data mining']","En Innovative Analytics, estamos buscando un/a Big Data Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Granada, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Power BI, Tableau, Statistics, Data Mining, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: Power BI, Tableau, Statistics, Data Mining.

Ofrecemos:
- Contrato: Temporal, media jornada.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Innovative Analytics!",1289B128,Data Scientist,
Deep Learning Specialist,ProData Group,"Madrid, España",45.000€ - 55.000€ Bruto/año,Al menos 4 años,"Temporal, media jornada",Grado universitario en Estadística,"['powerbi', 'tableau', 'statistics', 'data mining']","En ProData Group, estamos buscando un/a Deep Learning Specialist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Madrid, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Power BI, Tableau, Statistics, Data Mining, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 4 años.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: Power BI, Tableau, Statistics, Data Mining.

Ofrecemos:
- Contrato: Temporal, media jornada.
- Salario competitivo: 45.000€ - 55.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en ProData Group!",F59EB05E,Data Scientist,
Data Scientist Junior,Tech Solutions Ltd.,"Sevilla, España",30.000€ - 40.000€ Bruto/año,Al menos 2 años,"Por obra o servicio, jornada completa",Grado universitario en Estadística,"['powerbi', 'tableau', 'statistics', 'data mining']","En Tech Solutions Ltd., estamos buscando un/a Data Scientist Junior para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Sevilla, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Power BI, Tableau, Statistics, Data Mining, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 2 años.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: Power BI, Tableau, Statistics, Data Mining.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Tech Solutions Ltd.!",A955536B,Data Scientist,
AI Research Scientist,NextGen AI,"Madrid, España",Salario no disponible,Al menos 2 años,"Temporal, media jornada",Grado universitario en Estadística,"['tensorflow', 'keras', 'pytorch', 'nlp']","En NextGen AI, estamos buscando un/a AI Research Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Madrid, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como TensorFlow, Keras, PyTorch, Natural Language Processing, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 2 años.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: TensorFlow, Keras, PyTorch, Natural Language Processing.

Ofrecemos:
- Contrato: Temporal, media jornada.
- Salario competitivo: Salario no disponible.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en NextGen AI!",E882088F,Data Scientist,
AI Research Scientist,BrightAI Solutions,"Palma de Mallorca, España",30.000€ - 40.000€ Bruto/año,Sin experiencia,"Indefinido, jornada completa",Grado universitario en Estadística,"['powerbi', 'tableau', 'statistics', 'data mining']","En BrightAI Solutions, estamos buscando un/a AI Research Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Palma de Mallorca, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Power BI, Tableau, Statistics, Data Mining, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Sin experiencia.
- Formación académica: Grado universitario en Estadística.
- Conocimiento técnico: Power BI, Tableau, Statistics, Data Mining.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en BrightAI Solutions!",30A9AE09,Data Scientist,
Deep Learning Specialist,Visionary Insights,"Valencia, España",Salario no disponible,Sin experiencia,"Temporal, media jornada",Máster en Data Science,"['powerbi', 'tableau', 'statistics', 'data mining']","En Visionary Insights, estamos buscando un/a Deep Learning Specialist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Valencia, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Power BI, Tableau, Statistics, Data Mining, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Sin experiencia.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: Power BI, Tableau, Statistics, Data Mining.

Ofrecemos:
- Contrato: Temporal, media jornada.
- Salario competitivo: Salario no disponible.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Visionary Insights!",7F5ABA81,Data Scientist,
