,Titulo,Empresa,Ubicacion,Salario,Experiencia minima,Tipo de contrato,Estudios minimos,Skills,Descripcion,Referencia,cat_original,cat_identificada
72,Security Risk Management Expert,CyberSecure Tech,"Madrid, España","['56.000', '98.000']",Al menos 5 años,"Temporal, media jornada","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['gestion de riesgos', 'auditoria de datos', 'trabajo en equipo', 'comunicacion efectiva', 'iso 27001', 'gdpr']","En CyberSecure Tech, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Gestión de riesgos, Auditoría de datos, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00073,Data Security & Privacy,
73,Information Security Consultant,SecureFlow Corp,"Barcelona, España","['40.000', '97.000']",3-5 años,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],['iso 27001'],"En SecureFlow Corp, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Comunicación efectiva, Análisis crítico, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00074,Data Security & Privacy,
74,Information Security Consultant,Shield Analytics,"Valencia, España","['41.000', '88.000']",Sin experiencia,"Proyecto, freelance","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['gdpr', 'iso 27001', 'sistemas de seguridad']","En Shield Analytics, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Análisis crítico, Conocimiento de GDPR, Sistemas de seguridad, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00075,Data Security & Privacy,
75,Privacy Compliance Manager,Shield Analytics,"Barcelona, España","['40.000', '68.000']",3-5 años,"Temporal, media jornada","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['analisis critico', 'gdpr', 'trabajo en equipo', 'gestion de riesgos']","En Shield Analytics, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Análisis crítico, Conocimiento de GDPR, Trabajo en equipo, Gestión de riesgos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00076,Data Security & Privacy,
76,Security Auditor,CyberSecure Tech,"Bilbao, España","['41.000', '66.000']",Sin experiencia,"Indefinido, jornada completa",['Máster en Protección de Datos o Seguridad de la Información'],"['trabajo en equipo', 'gdpr', 'iso 27001', 'comunicacion efectiva']","En CyberSecure Tech, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Conocimiento de GDPR, ISO 27001, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00077,Data Security & Privacy,
77,Security Risk Management Expert,DataDefense Inc,"Sevilla, España","['47.000', '75.000']",Al menos 5 años,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],"['sistemas de seguridad', 'gdpr', 'auditoria de datos']","En DataDefense Inc, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Análisis crítico, Conocimiento de GDPR, Auditoría de datos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00078,Data Security & Privacy,
78,Security Auditor,Shield Analytics,"Valencia, España","['36.000', '68.000']",Sin experiencia,"Temporal, media jornada","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['gestion de riesgos', 'iso 27001', 'gdpr']","En Shield Analytics, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Comunicación efectiva, Gestión de riesgos, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00079,Data Security & Privacy,
79,GDPR Specialist,PrivacyGuard Labs,"Madrid, España","['58.000', '96.000']",3-5 años,"Temporal, media jornada","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['iso 27001', 'gdpr', 'sistemas de seguridad', 'analisis critico', 'trabajo en equipo']","En PrivacyGuard Labs, buscamos un/a GDPR Specialist apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Análisis crítico, Conocimiento de GDPR, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00080,Data Security & Privacy,
80,IT Security Analyst,DataDefense Inc,"Bilbao, España","['37.000', '97.000']",Sin experiencia,"Proyecto, freelance","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['iso 27001', 'gdpr', 'sistemas de seguridad', 'analisis critico']","En DataDefense Inc, buscamos un/a IT Security Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Sistemas de seguridad, Comunicación efectiva, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00081,Data Security & Privacy,
81,Privacy Compliance Manager,SecureFlow Corp,"Barcelona, España","['42.000', '85.000']",3-5 años,"Proyecto, freelance",['Máster en Protección de Datos o Seguridad de la Información'],"['iso 27001', 'gdpr', 'analisis critico', 'trabajo en equipo', 'auditoria de datos', 'gestion de riesgos']","En SecureFlow Corp, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Análisis crítico, Trabajo en equipo, Auditoría de datos, Gestión de riesgos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00082,Data Security & Privacy,
82,Information Security Consultant,Shield Analytics,"Barcelona, España","['43.000', '100.000']",3-5 años,"Indefinido, jornada completa",['Máster en Protección de Datos o Seguridad de la Información'],"['gestion de riesgos', 'trabajo en equipo', 'sistemas de seguridad', 'auditoria de datos', 'iso 27001', 'gdpr']","En Shield Analytics, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Trabajo en equipo, Sistemas de seguridad, Auditoría de datos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00083,Data Security & Privacy,
83,GDPR Specialist,CyberSecure Tech,"Valencia, España","['51.000', '79.000']",3-5 años,"Indefinido, jornada completa","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['gestion de riesgos', 'auditoria de datos', 'trabajo en equipo', 'comunicacion efectiva', 'iso 27001', 'gdpr']","En CyberSecure Tech, buscamos un/a GDPR Specialist apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Auditoría de datos, Trabajo en equipo, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00084,Data Security & Privacy,
84,Data Privacy Specialist Junior,SecureFlow Corp,"Valencia, España","['53.000', '94.000']",Sin experiencia,"Indefinido, jornada completa",['Máster en Protección de Datos o Seguridad de la Información'],"['gestion de riesgos', 'trabajo en equipo', 'analisis critico', 'gdpr']","En SecureFlow Corp, buscamos un/a Data Privacy Specialist Junior apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Trabajo en equipo, Análisis crítico, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00085,Data Security & Privacy,
85,Cybersecurity & Compliance Analyst,CyberSecure Tech,"Valencia, España","['49.000', '99.000']",Sin experiencia,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],"['iso 27001', 'gdpr', 'comunicacion efectiva', 'trabajo en equipo']","En CyberSecure Tech, buscamos un/a Cybersecurity & Compliance Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Comunicación efectiva, Conocimiento de GDPR, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00086,Data Security & Privacy,
86,Data Privacy Specialist Junior,Shield Analytics,"Madrid, España","['48.000', '64.000']",Sin experiencia,"Temporal, media jornada","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['gestion de riesgos', 'gdpr']","En Shield Analytics, buscamos un/a Data Privacy Specialist Junior apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Gestión de riesgos, Comunicación efectiva, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00087,Data Security & Privacy,
87,Cybersecurity & Compliance Analyst,PrivacyGuard Labs,"Madrid, España","['46.000', '98.000']",Sin experiencia,"Indefinido, jornada completa",['Máster en Protección de Datos o Seguridad de la Información'],"['sistemas de seguridad', 'analisis critico', 'gestion de riesgos', 'trabajo en equipo']","En PrivacyGuard Labs, buscamos un/a Cybersecurity & Compliance Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Análisis crítico, Gestión de riesgos, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00088,Data Security & Privacy,
88,Security Risk Management Expert,Shield Analytics,"Valencia, España","['55.000', '75.000']",Sin experiencia,"Indefinido, jornada completa","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['auditoria de datos', 'sistemas de seguridad', 'trabajo en equipo', 'analisis critico']","En Shield Analytics, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Sistemas de seguridad, Trabajo en equipo, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00089,Data Security & Privacy,
89,Security Risk Management Expert,Shield Analytics,"Barcelona, España","['52.000', '76.000']",Al menos 5 años,"Proyecto, freelance","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['gdpr', 'iso 27001', 'sistemas de seguridad']","En Shield Analytics, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Análisis crítico, Conocimiento de GDPR, Sistemas de seguridad. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00090,Data Security & Privacy,
90,Data Protection Officer,CyberSecure Tech,"Barcelona, España","['32.000', '89.000']",3-5 años,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],"['iso 27001', 'gdpr', 'analisis critico', 'comunicacion efectiva', 'sistemas de seguridad']","En CyberSecure Tech, buscamos un/a Data Protection Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Análisis crítico, Comunicación efectiva, Sistemas de seguridad. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00091,Data Security & Privacy,
91,GDPR Specialist,Shield Analytics,"Madrid, España","['49.000', '69.000']",Sin experiencia,"Proyecto, freelance",['Máster en Protección de Datos o Seguridad de la Información'],"['auditoria de datos', 'analisis critico', 'gdpr', 'iso 27001']","En Shield Analytics, buscamos un/a GDPR Specialist apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Análisis crítico, Conocimiento de GDPR, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00092,Data Security & Privacy,
92,Chief Information Security Officer,SecureFlow Corp,"Valencia, España","['53.000', '78.000']",Al menos 5 años,"Proyecto, freelance",['Máster en Protección de Datos o Seguridad de la Información'],"['sistemas de seguridad', 'trabajo en equipo', 'iso 27001', 'gdpr']","En SecureFlow Corp, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Trabajo en equipo, ISO 27001, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00093,Data Security & Privacy,
93,Privacy Compliance Manager,SecureFlow Corp,"Valencia, España","['31.000', '87.000']",Al menos 5 años,"Indefinido, jornada completa","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['iso 27001', 'gdpr', 'auditoria de datos', 'comunicacion efectiva', 'gestion de riesgos', 'trabajo en equipo']","En SecureFlow Corp, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Comunicación efectiva, Gestión de riesgos, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00094,Data Security & Privacy,
94,Security Risk Management Expert,SecureFlow Corp,"Bilbao, España","['56.000', '98.000']",1-2 años,"Proyecto, freelance",['Máster en Protección de Datos o Seguridad de la Información'],"['gdpr', 'auditoria de datos', 'analisis critico', 'iso 27001']","En SecureFlow Corp, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Conocimiento de GDPR, Auditoría de datos, Análisis crítico, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00095,Data Security & Privacy,
95,Information Security Consultant,SecureFlow Corp,"Sevilla, España","['44.000', '70.000']",Al menos 5 años,"Proyecto, freelance",['Máster en Protección de Datos o Seguridad de la Información'],"['gestion de riesgos', 'sistemas de seguridad', 'analisis critico', 'gdpr']","En SecureFlow Corp, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Sistemas de seguridad, Análisis crítico, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00096,Data Security & Privacy,
96,Chief Information Security Officer,PrivacyGuard Labs,"Sevilla, España","['52.000', '65.000']",3-5 años,"Indefinido, jornada completa",['Máster en Protección de Datos o Seguridad de la Información'],"['iso 27001', 'gdpr', 'auditoria de datos', 'trabajo en equipo']","En PrivacyGuard Labs, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Análisis crítico, ISO 27001, Auditoría de datos, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00097,Data Security & Privacy,
97,Chief Information Security Officer,Shield Analytics,"Madrid, España","['45.000', '88.000']",3-5 años,"Temporal, media jornada","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['iso 27001', 'gdpr', 'analisis critico', 'trabajo en equipo', 'sistemas de seguridad', 'comunicacion efectiva']","En Shield Analytics, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Análisis crítico, Trabajo en equipo, Sistemas de seguridad, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00098,Data Security & Privacy,
98,Chief Information Security Officer,DataDefense Inc,"Barcelona, España","['54.000', '75.000']",Sin experiencia,"Proyecto, freelance","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['trabajo en equipo', 'auditoria de datos', 'iso 27001', 'analisis critico']","En DataDefense Inc, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Auditoría de datos, ISO 27001, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00099,Data Security & Privacy,
99,Security Risk Management Expert,CyberSecure Tech,"Bilbao, España","['35.000', '92.000']",3-5 años,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],"['iso 27001', 'gdpr', 'trabajo en equipo', 'analisis critico', 'comunicacion efectiva']","En CyberSecure Tech, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Análisis crítico, ISO 27001, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00100,Data Security & Privacy,
100,Chief Information Security Officer,CyberSecure Tech,"Bilbao, España","['33.000', '78.000']",Sin experiencia,"Proyecto, freelance","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['seguridad', 'gestion de riesgos', 'comunicacion efectiva', 'auditoria de datos']","En CyberSecure Tech, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Gestión de riesgos, Comunicación efectiva, Auditoría de datos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00101,Data Security & Privacy,
101,GDPR Specialist,DataDefense Inc,"Barcelona, España","['57.000', '66.000']",3-5 años,"Indefinido, jornada completa","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['iso 27001', 'auditoria de datos', 'trabajo en equipo', 'analisis critico']","En DataDefense Inc, buscamos un/a GDPR Specialist apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Auditoría de datos, Trabajo en equipo, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00102,Data Security & Privacy,
102,GDPR Specialist,SecureFlow Corp,"Bilbao, España","['56.000', '96.000']",3-5 años,"Proyecto, freelance",['Máster en Protección de Datos o Seguridad de la Información'],"['gestion de riesgos', 'comunicacion efectiva', 'trabajo en equipo', 'auditoria de datos', 'iso 27001', 'gdpr']","En SecureFlow Corp, buscamos un/a GDPR Specialist apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Comunicación efectiva, Trabajo en equipo, Auditoría de datos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00103,Data Security & Privacy,
103,Security Auditor,SecureFlow Corp,"Barcelona, España","['54.000', '85.000']",Sin experiencia,"Proyecto, freelance",['Máster en Protección de Datos o Seguridad de la Información'],"['trabajo en equipo', 'auditoria de datos', 'comunicacion efectiva', 'iso 27001']","En SecureFlow Corp, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Auditoría de datos, Comunicación efectiva, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00104,Data Security & Privacy,
